quarter_end,net_sales_musd
2011-06-30,462
2011-09-30,475
2011-12-31,410
2012-03-31,455
2012-06-30,593
2012-09-30,542
2012-12-31,472
2013-03-31,484
2013-06-30,631
2013-09-30,590
2013-12-31,541
2014-03-31,536
2014-06-30,687
2014-09-30,636
2014-12-31,606
2015-03-31,627
2015-06-30,694
2015-09-30,757
2015-12-31,645
2016-03-31,680
2016-06-30,827
2016-09-30,788
2016-12-31,754
2017-03-31,742
2017-06-30,907
2017-09-30,909
2017-12-31,810
2018-03-31,851
2018-06-30,1016
2018-09-30,1016
2018-12-31,924
2019-03-31,946
2019-06-30,1104
2019-09-30,1134
2019-12-31,1017
2020-03-31,1062
2020-06-30,1094
2020-09-30,1246
2020-12-31,1196
2021-03-31,1244
2021-06-30,1462
2021-09-30,1411
2021-12-31,1425
2022-03-31,1519
2022-06-30,1655
2022-09-30,1624
2022-12-31,1513
2023-03-31,1699
2023-06-30,1855
2023-09-30,1856
2023-12-31,1730
2024-03-31,1899
2024-06-30,1901
2024-09-30,1881
2024-12-31,1812
2025-03-31,1855
2025-06-30,2112
2025-09-30,2197
2025-12-31,2131
2026-03-31,2353
